GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Projeto,Projeto,Ciclismo,2,123,1,5,0,29,1,10,0,8
Projeto,Projeto,Abdominais,0,124,0,6,0,29,0,11,0,8
Projeto,Projeto,AppDesportiva,2025,0,175,0,509,0,128,0,24,0
Projeto,Projeto,GestorDesportivo,1065,237,79,7,177,46,91,15,49,14
Projeto,Projeto,AtivRepeticoes,4,91,3,7,0,23,3,10,0,8
Projeto,Projeto,Utilizador,347,669,40,26,56,171,58,41,28,38
Projeto,Projeto,UtilizadorAmador,4,75,3,3,0,21,3,9,0,9
Projeto,Projeto,Corrida,2,123,1,5,0,29,1,10,0,8
Projeto,Projeto,PlanoTreino.AtividadeIteracoes,42,68,10,0,8,18,8,6,3,6
Projeto,Projeto,ProgPrincipal,33,0,2,0,9,0,4,0,3,0
Projeto,Projeto,Atividade,29,218,11,15,0,59,11,18,0,16
Projeto,Projeto,BenchPress,23,185,4,8,0,39,6,11,3,8
Projeto,Projeto,Menu,126,130,8,10,37,46,7,13,3,8
Projeto,Projeto,Trail,20,185,3,9,0,41,5,13,3,9
Projeto,Projeto,LegPress,25,183,5,7,0,39,7,10,3,8
Projeto,Projeto,AtivRepsPeso,0,99,0,10,0,24,0,13,0,8
Projeto,Projeto,AtivDistancia,0,108,0,10,0,25,0,14,0,9
Projeto,Projeto,Flexoes,2,122,1,5,0,29,1,10,0,8
Projeto,Projeto,BicepCurls,29,210,8,12,0,46,10,11,3,8
Projeto,Projeto,UtilizadorPraticanteOcasional,4,75,3,3,0,21,3,9,0,9
Projeto,Projeto,UtilizadorProfissional,4,75,3,3,0,21,3,9,0,9
Projeto,Projeto,AtivDistAltimetria,4,88,3,7,0,23,3,10,0,8
Projeto,Projeto,Btt,20,185,3,9,0,41,5,13,3,9
Projeto,Projeto,PlanoTreino,296,310,38,18,56,70,26,23,4,17
